,Year,Make,Model,Price,Mileage,URL
11,2009,Honda,civic,6000,214000,https://www.facebook.com/marketplace/item/723164679942872/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-2512171515749909296%22%2C%22mf_story_key%22%3A%2224795493956732420%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A24795493956732420%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A12%2C%5C%22ranking_signature%5C%22%3A1634236653455485191%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.0028556271907156%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%2224795493956732420%5C%22%3A111%7D%7D%22%2C%22ftmd_400706%22%3A%22111112l%22%7D&__tn__=!%3AD
12,2008,Honda,civic,6000,267000,https://www.facebook.com/marketplace/item/1731140670726866/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-2512171515749909296%22%2C%22mf_story_key%22%3A%227418535174874101%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A7418535174874101%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A13%2C%5C%22ranking_signature%5C%22%3A1634236653455485191%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.0020079677218537%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%227418535174874101%5C%22%3A111%7D%7D%22%2C%22ftmd_400706%22%3A%22111112l%22%7D&__tn__=!%3AD
13,2009,Honda,civic,6700,205000,https://www.facebook.com/marketplace/item/358305393736293/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-2512171515749909296%22%2C%22mf_story_key%22%3A%227549640215066233%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A7549640215066233%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A14%2C%5C%22ranking_signature%5C%22%3A1634236653455485191%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.0026584038921837%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%227549640215066233%5C%22%3A111%7D%7D%22%2C%22ftmd_400706%22%3A%22111112l%22%7D&__tn__=!%3AD
14,2007,Honda,civic,5999,170000,https://www.facebook.com/marketplace/item/869696195170076/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-2512171515749909296%22%2C%22mf_story_key%22%3A%227008263159295562%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A7008263159295562%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A15%2C%5C%22ranking_signature%5C%22%3A1634236653455485191%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.0040717840558315%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%227008263159295562%5C%22%3A111%7D%7D%22%2C%22ftmd_400706%22%3A%22111112l%22%7D&__tn__=!%3AD
15,2007,Honda,civic,2800,270000,https://www.facebook.com/marketplace/item/716794813919314/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-2512171515749909296%22%2C%22mf_story_key%22%3A%227939205009429371%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A7939205009429371%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A16%2C%5C%22ranking_signature%5C%22%3A1634236653455485191%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.0055578127803232%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%227939205009429371%5C%22%3A111%7D%7D%22%2C%22ftmd_400706%22%3A%22111112l%22%7D&__tn__=!%3AD
16,2009,Honda,civic,4950,240000,https://www.facebook.com/marketplace/item/806464218166008/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-2512171515749909296%22%2C%22mf_story_key%22%3A%227840729605991686%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A7840729605991686%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A17%2C%5C%22ranking_signature%5C%22%3A1634236653455485191%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.002443545513005%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%227840729605991686%5C%22%3A111%7D%7D%22%2C%22ftmd_400706%22%3A%22111112l%22%7D&__tn__=!%3AD
17,2007,Honda,civic,3000,238000,https://www.facebook.com/marketplace/item/927520495430221/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-2512171515749909296%22%2C%22mf_story_key%22%3A%227878862078796947%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A7878862078796947%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A18%2C%5C%22ranking_signature%5C%22%3A1634236653455485191%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.0057429609082303%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%227878862078796947%5C%22%3A111%7D%7D%22%2C%22ftmd_400706%22%3A%22111112l%22%7D&__tn__=!%3AD
18,2008,Honda,civic,4950,228000,https://www.facebook.com/marketplace/item/1362820261031835/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-2512171515749909296%22%2C%22mf_story_key%22%3A%227058366787550710%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A7058366787550710%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A19%2C%5C%22ranking_signature%5C%22%3A1634236653455485191%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.0033150685970668%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%227058366787550710%5C%22%3A111%7D%7D%22%2C%22ftmd_400706%22%3A%22111112l%22%7D&__tn__=!%3AD
19,2006,Honda,civic,5600,188000,https://www.facebook.com/marketplace/item/289527730812532/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-2512171515749909296%22%2C%22mf_story_key%22%3A%2224666268473018790%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A24666268473018790%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A20%2C%5C%22ranking_signature%5C%22%3A1634236653455485191%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.0035759564283742%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%2224666268473018790%5C%22%3A111%7D%7D%22%2C%22ftmd_400706%22%3A%22111112l%22%7D&__tn__=!%3AD
21,2007,Honda,civic,1700,300000,https://www.facebook.com/marketplace/item/404143162024849/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-2512171515749909296%22%2C%22mf_story_key%22%3A%227124847404264477%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A7124847404264477%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A22%2C%5C%22ranking_signature%5C%22%3A1634236653455485191%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.0038870898978108%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%227124847404264477%5C%22%3A111%7D%7D%22%2C%22ftmd_400706%22%3A%22111112l%22%7D&__tn__=!%3AD
22,2009,Honda,civic,5500,270000,https://www.facebook.com/marketplace/item/950744329792069/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-2512171515749909296%22%2C%22mf_story_key%22%3A%227005578546207800%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A7005578546207800%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A23%2C%5C%22ranking_signature%5C%22%3A1634236653455485191%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.0025269104876193%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%227005578546207800%5C%22%3A111%7D%7D%22%2C%22ftmd_400706%22%3A%22111112l%22%7D&__tn__=!%3AD
23,2007,Honda,civic,6200,197000,https://www.facebook.com/marketplace/item/940185367031204/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-2512171515749909296%22%2C%22mf_story_key%22%3A%225471083039682309%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A5471083039682309%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A24%2C%5C%22ranking_signature%5C%22%3A1634236653455485191%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.0031456114853564%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%225471083039682309%5C%22%3A111%7D%7D%22%2C%22ftmd_400706%22%3A%22111112l%22%7D&__tn__=!%3AD
24,2006,Honda,civic,2199,206000,https://www.facebook.com/marketplace/item/2717040178448781/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-2512171171982372100%22%2C%22mf_story_key%22%3A%227304977409560499%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A7304977409560499%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A25%2C%5C%22ranking_signature%5C%22%3A1634236653455485191%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.0026039968031663%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%227304977409560499%5C%22%3A111%7D%7D%22%2C%22ftmd_400706%22%3A%22111112l%22%7D&__tn__=!%3AD
25,2009,Honda,civic,4000,285000,https://www.facebook.com/marketplace/item/1110419399959792/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-2512171171982372100%22%2C%22mf_story_key%22%3A%227349313155156312%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A7349313155156312%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A26%2C%5C%22ranking_signature%5C%22%3A1634236653455485191%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.0040717900558315%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%227349313155156312%5C%22%3A111%7D%7D%22%2C%22ftmd_400706%22%3A%22111112l%22%7D&__tn__=!%3AD
